Date,Time,Y,Open,High,Close,Low,Volume
2012.12.19,17:00,1667.71,1667.01,1667.11,1665.54,1665.69,315
2012.12.19,18:00,1668.26,1665.51,1667.95,1665.09,1667.47,2177
2012.12.19,19:00,1668.02,1667.42,1669.55,1665.79,1666.97,2552
2012.12.19,20:00,1668.95,1666.95,1669.16,1666.27,1666.87,3222
2012.12.19,21:00,1667.94,1666.85,1669.03,1666.62,1668.86,1855
2012.12.19,22:00,1667.47,1668.85,1668.85,1666.9,1667.03,1235
2012.12.19,23:00,1667.77,1667.01,1667.75,1666.08,1667.18,2214
2012.12.20,0:00,1670.57,1667.24,1667.79,1666.66,1667.74,1702
2012.12.20,1:00,1670.38,1667.72,1671.25,1667.69,1669.88,2162
2012.12.20,2:00,1670.66,1669.89,1671.05,1669.18,1669.7,2136
2012.12.20,3:00,1670.18,1669.68,1670.91,1669.23,1670.41,2473
2012.12.20,4:00,1668.21,1670.4,1671.73,1667.5,1668.63,2864
2012.12.20,5:00,1668.36,1668.65,1668.84,1667.11,1667.58,2152
2012.12.20,6:00,1669.43,1667.6,1668.65,1667.04,1668.07,2207
2012.12.20,7:00,1661.28,1668.08,1670.66,1667.41,1668.2,2865
2012.12.20,8:00,1654.15,1668.22,1670.09,1652.25,1652.46,8349
2012.12.20,9:00,1648.59,1652.47,1656.21,1646.45,1652.09,9358
2012.12.20,10:00,1641.81,1652.12,1652.12,1642.78,1645.05,8260
2012.12.20,11:00,1642.51,1645.03,1645.03,1635.66,1638.58,7843
2012.12.20,12:00,1645.89,1638.57,1643,1638.1,1642.02,5383
2012.12.20,13:00,1647.03,1641.85,1646.29,1640.56,1645.48,5109
2012.12.20,14:00,1649.1,1645.47,1647.04,1644.87,1647.02,2199
2012.12.20,15:00,1648.41,1647.04,1649.41,1646.45,1648.79,1941
2012.12.20,16:00,1647.44,1648.76,1649,1646.8,1647.81,1867
2012.12.20,17:00,1648.6,1647.66,1647.74,1647.12,1647.13,245
2012.12.20,18:00,1648.36,1647.74,1648.87,1647.43,1648.32,1511
2012.12.20,19:00,1646.36,1648.33,1648.55,1646.16,1648.16,2571
2012.12.20,20:00,1641.76,1648.14,1648.77,1643.62,1643.95,4328
2012.12.20,21:00,1642.84,1643.91,1644.1,1635.5,1639.42,5400
2012.12.20,22:00,1642.13,1639.39,1643.04,1638.71,1642.63,3448
2012.12.20,23:00,1643.56,1642.61,1642.83,1640.54,1641.42,2133
2012.12.21,0:00,1646.1,1641.44,1643.57,1640.88,1643.54,2145
2012.12.21,1:00,1647.66,1643.57,1646.49,1643.47,1645.71,2747
2012.12.21,2:00,1650.45,1645.77,1648.43,1643.76,1646.89,3200
2012.12.21,3:00,1650.84,1646.87,1650.63,1646.19,1650.26,3314
2012.12.21,4:00,1648.16,1650.18,1651.53,1648.84,1650.15,2938
2012.12.21,5:00,1648.2,1650.16,1650.82,1645.4,1645.5,3339
2012.12.21,6:00,1648.95,1645.55,1648.42,1645.11,1647.98,3380
2012.12.21,7:00,1649.53,1647.96,1649.94,1647.09,1647.96,3585
2012.12.21,8:00,1652.66,1648,1650.55,1646.29,1648.51,5705
2012.12.21,9:00,1658.27,1648.5,1653.96,1647.67,1651.35,6093
2012.12.21,10:00,1657.02,1651.36,1659.33,1650.45,1657.2,7022
2012.12.21,11:00,1658.17,1657.25,1658.07,1652.4,1655.97,4449
2012.12.21,12:00,1657.64,1655.96,1658.34,1653.04,1658,3737
2012.12.21,13:00,1656.15,1658.03,1659.62,1654.94,1655.66,3877
2012.12.21,14:00,1655.96,1655.65,1656.26,1653.94,1656.04,2518
2012.12.21,15:00,1657.05,1656.06,1657.08,1654.35,1654.84,2297
2012.12.21,16:00,1658.43,1654.79,1657.18,1654.79,1656.92,1562
2012.12.23,18:00,1655.67,1656.91,1658.84,1656.77,1658.02,2193
2012.12.23,19:00,1657.1,1658.01,1658.49,1652.74,1652.84,2805
2012.12.23,20:00,1656.86,1652.77,1657.6,1651.81,1656.6,3488
2012.12.23,21:00,1656.53,1656.58,1657.56,1655.16,1656.16,2101
2012.12.23,22:00,1657.13,1656.17,1656.67,1655.74,1656.38,1333
2012.12.23,23:00,1659.59,1656.39,1657.3,1655.91,1656.95,1056
2012.12.24,0:00,1662.16,1656.93,1659.8,1656.43,1659.38,1556
2012.12.24,1:00,1664.82,1659.41,1662.85,1658.79,1661.47,2419
2012.12.24,2:00,1664.66,1661.49,1665.08,1660.71,1664.55,2270
2012.12.24,3:00,1664.33,1664.5,1665.74,1662.64,1663.58,2754
2012.12.24,4:00,1663.94,1663.53,1665.4,1662.06,1663.26,2269
2012.12.24,5:00,1664.71,1663.3,1664.57,1661.32,1663.3,2784
2012.12.24,6:00,1663.28,1663.29,1665.26,1662.66,1664.16,3227
2012.12.24,7:00,1661.82,1664.12,1664.58,1660.74,1661.98,2818
2012.12.24,8:00,1661.22,1661.85,1662.58,1659.26,1661.05,3546
2012.12.24,9:00,1661.23,1661.03,1661.88,1658.35,1660.55,3969
2012.12.24,10:00,1660.28,1660.46,1661.82,1658.33,1660.63,3589
2012.12.24,11:00,1659.1,1660.72,1660.72,1658.21,1659.84,2448
2012.12.24,12:00,1659.16,1659.79,1659.8,1656.64,1658.4,3419
2012.12.24,13:00,1657.02,1658.29,1660.13,1657.31,1658.18,1796
2012.12.26,6:00,1658.09,1656.42,1658.44,1655.16,1655.59,2307
2012.12.26,7:00,1662.29,1655.57,1658.1,1655.31,1658.07,2309
2012.12.26,8:00,1666.67,1658.08,1662.49,1657.17,1662.08,3365
2012.12.26,9:00,1663.61,1662.04,1667.79,1661.78,1665.54,4195
2012.12.26,10:00,1661.88,1665.56,1666.11,1660.58,1661.11,3621
2012.12.26,11:00,1661.14,1661.13,1662.1,1659.8,1661.66,3137
2012.12.26,12:00,1659.84,1661.67,1661.84,1658.67,1660.43,2563
2012.12.26,13:00,1660.84,1660.48,1660.5,1659.07,1659.18,2279
2012.12.26,14:00,1660.65,1659.2,1661.03,1659.2,1660.65,1640
2012.12.26,15:00,1659.76,1660.66,1661.16,1659.96,1660.13,1724
2012.12.26,16:00,1659.69,1660.12,1660.2,1659.18,1659.32,857
2012.12.26,17:00,1658.88,1659.37,1660.01,1659.29,1659.37,235
2012.12.26,18:00,1657.27,1658.95,1659.09,1656.5,1658.66,1719
2012.12.26,19:00,1658.03,1658.67,1658.94,1654.89,1655.6,2060
2012.12.26,20:00,1657.69,1655.54,1658.15,1653.37,1657.9,3317
2012.12.26,21:00,1658.61,1657.88,1658.08,1657.01,1657.3,1662
2012.12.26,22:00,1658.18,1657.28,1658.88,1657.28,1658.33,1421
2012.12.26,23:00,1657.14,1658.35,1658.48,1657.26,1657.88,1508
2012.12.27,0:00,1656.92,1657.9,1658,1656.01,1656.28,1701
2012.12.27,1:00,1657.93,1656.16,1656.92,1655.16,1656.92,2020
2012.12.27,2:00,1658.19,1656.95,1658.26,1656.42,1657.6,2016
2012.12.27,3:00,1658.53,1657.5,1658.43,1657.3,1657.95,1939
2012.12.27,4:00,1656.71,1657.9,1659.17,1657.65,1657.88,1401
2012.12.27,5:00,1656.06,1657.77,1658.45,1654.72,1654.96,2438
2012.12.27,6:00,1655.63,1654.98,1656.68,1654.82,1655.44,1638
2012.12.27,7:00,1657.11,1655.41,1655.79,1653.42,1655.46,2795
